uuid,name,name_plain,description,description_plain,item,owner,owner_plain,visits,votes,date_created,has_resource_pack,player_count,resource_pack_url,resource_pack_hash,saves_dat_files,saves_player_data,date_modified
"7c258bf0-360c-4ff0-8175-1d42ba538b51","{""italic"":false,""color"":""red"",""text"":""������ Penguin's Strategy™ ������""}","������ Penguin's Strategy™ ������","{""italic"":false,""color"":""light_purple"",""text"":""Join our Discord!""}","Join our Discord!","red_banner","{""italic"":false,""color"":""gray"",""extra"":[{""color"":""green"",""extra"":[{""color"":""#98FDB5"",""text"":""ᴀᴍ""},{""text"":"" ""},{""color"":""dark_gray"",""extra"":[{""color"":""#71DF92"",""text"":""A""},{""color"":""#78E197"",""text"":""g""},{""color"":""#7FE49D"",""text"":""e""},{""color"":""#85E6A2"",""text"":""n""},{""color"":""#8CE9A7"",""text"":""t""},{""color"":""#93EBAD"",""text"":""P""},{""color"":""#9AEEB2"",""text"":""e""},{""color"":""#A0F0B7"",""text"":""n""},{""color"":""#A7F2BD"",""text"":""g""},{""color"":""#AEF5C2"",""text"":""u""},{""color"":""#B5F7C7"",""text"":""i""},{""color"":""#BBFACD"",""text"":""n""},{""color"":""#C2FCD2"",""text"":""C""}],""text"":""| ""}],""text"":""""}],""text"":""""}","ᴀᴍ | AgentPenguinC",4598,117,1703288640,true,-1,,,,,
"71794e3e-470b-475e-a3d8-68cf5bdf99d5","{""italic"":false,""text"":""- [ Robi's Games ] -""}","- [ Robi's Games ] -","{""italic"":false,""color"":""gray"",""text"":""Join if you want to be a block""}","Join if you want to be a block","enchanted_golden_apple","{""italic"":false,""color"":""gray"",""text"":""okosRobi""}","okosRobi",1540,111,1704642000,false,-1,,,,,
"bb6c8393-06cd-4fef-89a4-d02ed9b63f7b","{""italic"":false,""extra"":[{""color"":""#FF0044"",""text"":""S""},{""color"":""#FF004E"",""text"":""p""},{""color"":""#FF0057"",""text"":""l""},{""color"":""#FF0061"",""text"":""a""},{""color"":""#FF006B"",""text"":""t""},{""color"":""#FF0075"",""text"":""o""},{""color"":""#FF007E"",""text"":""o""},{""color"":""#FF0088"",""text"":""n""},{""text"":"" ""},{""color"":""#00FFAA"",""extra"":[{""bold"":true,""underlined"":true,""text"":""X""}],""text"":""Gen ""},{""text"":"" ""},{""color"":""#8EFF47"",""text"":""v0.6.4""}],""text"":""""}","Splatoon Gen X v0.6.4","{""italic"":false,""underlined"":true,""color"":""#8000FF"",""text"":""aqua told me to make desc""}","aqua told me to make desc","lime_dye","{""italic"":false,""color"":""gray"",""extra"":[{""color"":""green"",""extra"":[{""color"":""#98FDB5"",""text"":""ᴀᴍ""},{""text"":"" ""},{""color"":""dark_gray"",""extra"":[{""color"":""#71DF92"",""text"":""D""},{""color"":""#7AE299"",""text"":""e""},{""color"":""#83E5A0"",""text"":""x""},{""color"":""#8CE9A7"",""text"":""F""},{""color"":""#95ECAE"",""text"":""l""},{""color"":""#9EEFB6"",""text"":""e""},{""color"":""#A7F2BD"",""text"":""x""},{""color"":""#B0F6C4"",""text"":""_""},{""color"":""#B9F9CB"",""text"":""Y""},{""color"":""#C2FCD2"",""text"":""T""}],""text"":""| ""}],""text"":""""}],""text"":""""}","ᴀᴍ | DexFlex_YT",1263,101,1711445880,true,-1,,,,,
"a0d81825-ba58-4557-b344-7e15fecad5d0","{""italic"":false,""color"":""green"",""extra"":[{""color"":""aqua"",""extra"":[{""color"":""yellow"",""extra"":[{""color"":""light_purple"",""extra"":[{""color"":""red"",""extra"":[{""color"":""gray"",""extra"":[{""color"":""blue"",""text"":""s""}],""text"":""n""}],""text"":""i""}],""text"":""a""}],""text"":""m""}],""text"":""o""}],""text"":""D""}","Domains","{""italic"":false,""color"":""gray"",""text"":""Capture & Expand Territory""}","Capture & Expand Territory","grass_block","{""italic"":false,""color"":""gray"",""extra"":[{""color"":""green"",""extra"":[{""color"":""#8888FF"",""text"":""ꜰᴍ""},{""text"":"" ""},{""color"":""dark_gray"",""extra"":[{""color"":""#7777FF"",""text"":""I""},{""color"":""#7388FF"",""text"":""_""},{""color"":""#6F99FF"",""text"":""A""},{""color"":""#6AAAFF"",""text"":""M""},{""color"":""#66BBFF"",""text"":""_""},{""color"":""#62CCFF"",""text"":""D""},{""color"":""#5EDDFF"",""text"":""I""},{""color"":""#59EEFF"",""text"":""R""},{""color"":""aqua"",""text"":""T""}],""text"":""| ""}],""text"":""""}],""text"":""""}","ꜰᴍ | I_AM_DIRT",1800,99,1701238020,true,-1,,,,,
"7ef38254-fc12-4702-bf3b-1af3658631ea","{""bold"":true,""italic"":false,""extra"":[{""color"":""#00FFA4"",""text"":""I""},{""color"":""#00FF4B"",""text"":""n""},{""color"":""#0EFF00"",""text"":""t""},{""color"":""#68FF00"",""text"":""e""},{""color"":""#C3FF00"",""text"":""r""},{""color"":""#FFE100"",""text"":""e""},{""color"":""#FF8700"",""text"":""s""},{""color"":""#FF2D00"",""text"":""t""},{""color"":""#FF002D"",""text"":""i""},{""color"":""#FF0086"",""text"":""n""},{""color"":""#FF00E0"",""text"":""g""},{""color"":""#C300FF"",""text"":"" ""},{""color"":""#6800FF"",""text"":""I""},{""color"":""#0F00FF"",""text"":""t""},{""color"":""#004BFF"",""text"":""e""},{""color"":""#00A5FF"",""text"":""m""},{""color"":""#00FFFF"",""text"":""s""},{""text"":""!""}],""text"":""""}","Interesting Items!","{""bold"":true,""italic"":false,""color"":""#2BFFC3"",""text"":""RESET COMPLETE: new map here!""}","RESET COMPLETE: new map here!","silence_armor_trim_smithing_template","{""italic"":false,""color"":""gray"",""extra"":[{""color"":""green"",""extra"":[{""color"":""#98FDB5"",""text"":""ᴀᴍ""},{""text"":"" ""},{""color"":""dark_gray"",""extra"":[{""color"":""#71DF92"",""text"":""R""},{""color"":""#7DE39B"",""text"":""e""},{""color"":""#88E7A4"",""text"":""d""},{""color"":""#94EBAD"",""text"":""S""},{""color"":""#9FF0B7"",""text"":""y""},{""color"":""#ABF4C0"",""text"":""v""},{""color"":""#B6F8C9"",""text"":""e""},{""color"":""#C2FCD2"",""text"":""n""}],""text"":""| ""}],""text"":""""}],""text"":""""}","ᴀᴍ | RedSyven",2255,96,1703804100,true,-1,,,,,
"6ecf55f9-ccda-4ad9-842a-8f0442e07733","{""italic"":false,""extra"":[{""color"":""red"",""text"":""N""},{""color"":""#FF5C4E"",""text"":""C""},{""color"":""#FF6247"",""text"":""C""},{""color"":""#FF6940"",""text"":"" ""},{""color"":""#FF7039"",""text"":""A""},{""color"":""#FF7632"",""text"":""r""},{""color"":""#FF7D2B"",""text"":""e""},{""color"":""#FF8423"",""text"":""n""},{""color"":""#FF8A1C"",""text"":""a""},{""color"":""#FF9115"",""text"":"" ""},{""color"":""#FF980E"",""text"":""0""},{""color"":""#FF9E07"",""text"":"".""},{""color"":""#FFA500"",""text"":""7""}],""text"":""""}","NCC Arena 0.7","{""italic"":false,""color"":""gray"",""text"":""Combat with Noita-esque wands""}","Combat with Noita-esque wands","warped_fungus_on_a_stick","{""italic"":false,""color"":""gray"",""extra"":[{""color"":""green"",""extra"":[{""color"":""#1FFF0F"",""text"":""ᴍᴏᴅ""},{""text"":"" ""},{""color"":""dark_gray"",""extra"":[{""color"":""gray"",""extra"":[{""color"":""#AAFF77"",""text"":""m""},{""color"":""#B0FF81"",""text"":""m""},{""color"":""#B6FF8A"",""text"":""m""},{""color"":""#BCFF94"",""text"":""m""},{""color"":""#C2FF9E"",""text"":""m""},{""color"":""#C8FFA7"",""text"":""a""},{""color"":""#CEFFB1"",""text"":""a""},{""color"":""#D4FFBB"",""text"":""a""},{""color"":""#DAFFC4"",""text"":""a""},{""color"":""#E0FFCE"",""text"":""a""},{""color"":""#E6FFD7"",""text"":""x""},{""color"":""#ECFFE1"",""text"":""x""},{""color"":""#F2FFEB"",""text"":""x""},{""color"":""#F8FFF4"",""text"":""x""},{""color"":""#FEFFFE"",""text"":""x""}],""text"":""""}],""text"":""| ""}],""text"":""""}],""text"":""""}","ᴍᴏᴅ | mmmmmaaaaaxxxxx",1860,96,1701220980,false,-1,,,,,
"79af26f5-430b-4d30-808e-c9989fc907b1","{""italic"":false,""text"":""TOTAL POINT SHIFT v0.2""}","TOTAL POINT SHIFT v0.2","{""italic"":false,""color"":""gray"",""text"":""Incremental upgrader (v0.2)""}","Incremental upgrader (v0.2)","nautilus_shell","{""italic"":false,""color"":""gray"",""text"":""hollikill""}","hollikill",762,95,1708377720,false,-1,,,,,
"0503919b-26a1-4a7f-9498-423713a8d7a9","{""italic"":false,""color"":""red"",""text"":""Abyss's Minigames""}","Abyss's Minigames","{""italic"":false,""color"":""red"",""text"":""A variety of minigames.""}","A variety of minigames.","lime_banner","{""italic"":false,""color"":""gray"",""extra"":[{""color"":""green"",""extra"":[{""color"":""#8888FF"",""text"":""ꜰᴍ""},{""text"":"" ""},{""color"":""dark_gray"",""extra"":[{""color"":""#7777FF"",""text"":""1""},{""color"":""#7481FF"",""text"":""2""},{""color"":""#728CFF"",""text"":""3""},{""color"":""#6F96FF"",""text"":""y""},{""color"":""#6DA1FF"",""text"":""e""},{""color"":""#6AABFF"",""text"":""a""},{""color"":""#67B6FF"",""text"":""h""},{""color"":""#65C0FF"",""text"":""_""},{""color"":""#62CBFF"",""text"":""b""},{""color"":""#5FD5FF"",""text"":""o""},{""color"":""#5DE0FF"",""text"":""i""},{""color"":""#5AEAFF"",""text"":""3""},{""color"":""#58F5FF"",""text"":""2""},{""color"":""aqua"",""text"":""1""}],""text"":""| ""}],""text"":""""}],""text"":""""}","ꜰᴍ | 123yeah_boi321",2235,85,1703440680,true,-1,,,,,
"985c7a96-b377-4472-961e-80c6a070e32e","{""italic"":false,""extra"":[{""color"":""green"",""text"":"" ""},{""color"":""#4FFA5B"",""text"":""������""},{""color"":""#4AF560"",""text"":"" ""},{""color"":""#44F066"",""text"":""A""},{""color"":""#3EEA6C"",""text"":""z""},{""color"":""#39E572"",""text"":""a""},{""color"":""#33E077"",""text"":""l""},{""color"":""#2DDB7D"",""text"":""e""},{""color"":""#28D683"",""text"":""a""},{""color"":""#22D189"",""text"":"" ""},{""color"":""#1CCC8E"",""text"":""M""},{""color"":""#17C794"",""text"":""a""},{""color"":""#11C19A"",""text"":""z""},{""color"":""#0BBCA0"",""text"":""e""},{""color"":""#06B7A5"",""text"":"" ""},{""color"":""#00B2AB"",""text"":""������""}],""text"":""""}"," ������ Azalea Maze ������","{""italic"":false,""color"":""white"",""extra"":[{""color"":""red"",""extra"":[{""color"":""white"",""text"":""in a maze""}],""text"":""pvp ""}],""text"":""SG inspired ""}","SG inspired pvp in a maze","flowering_azalea","{""italic"":false,""color"":""gray"",""extra"":[{""color"":""green"",""extra"":[{""color"":""#8888FF"",""text"":""ꜰᴍ""},{""text"":"" ""},{""color"":""dark_gray"",""extra"":[{""color"":""#7777FF"",""text"":""O""},{""color"":""#718EFF"",""text"":""t""},{""color"":""#6CA4FF"",""text"":""z""},{""color"":""#66BBFF"",""text"":""e""},{""color"":""#60D2FF"",""text"":""l""},{""color"":""#5BE8FF"",""text"":""i""},{""color"":""aqua"",""text"":""x""}],""text"":""| ""}],""text"":""""}],""text"":""""}","ꜰᴍ | Otzelix",1223,84,1703253360,false,-1,,,,,
"95d68291-bf87-4d14-846e-1c1679e4277f","{""italic"":false,""text"":""4d r/place""}","4d r/place","{""italic"":false,""color"":""gray"",""text"":""DATAPACK WORKING AGAIN!!""}","DATAPACK WORKING AGAIN!!","player_head","{""italic"":false,""color"":""gray"",""text"":""RainBlueSkye""}","RainBlueSkye",927,80,1703323260,false,-1,,,,,
"42e8a93b-183c-47a1-bf4d-94ccf56c7d7b","{""italic"":false,""extra"":[{""color"":""#FFC0CB"",""text"":""ʚ""},{""color"":""#FDB7B4"",""text"":"" ""},{""color"":""#FCAE9D"",""text"":""K""},{""color"":""#FAA687"",""text"":""o""},{""color"":""#F99D70"",""text"":""o""},{""color"":""#F79459"",""text"":""r""},{""color"":""#F98758"",""text"":""i""},{""color"":""#FA7B57"",""text"":""'""},{""color"":""#FC6E57"",""text"":""s""},{""color"":""#FD6256"",""text"":"" ""},{""color"":""red"",""text"":""A""},{""color"":""#FD6256"",""text"":""d""},{""color"":""#FC6E57"",""text"":""v""},{""color"":""#FA7B57"",""text"":""e""},{""color"":""#F98758"",""text"":""n""},{""color"":""#F79459"",""text"":""t""},{""color"":""#F99D70"",""text"":""u""},{""color"":""#FAA687"",""text"":""r""},{""color"":""#FCAE9D"",""text"":""e""},{""color"":""#FDB7B4"",""text"":"" ""},{""color"":""#FFC0CB"",""text"":""ɞ""}],""text"":""""}","ʚ Koori's Adventure ɞ","{""italic"":false,""color"":""gray"",""extra"":[{""color"":""#FFC0CB"",""font"":""minecraft:alt"",""text"":""[""},{""extra"":[{""color"":""#FFC5CF"",""text"":"" ""},{""color"":""#FFCBD4"",""text"":""J""},{""color"":""#FFD0D8"",""text"":""o""},{""color"":""#FFD5DC"",""text"":""i""},{""color"":""#FFDAE1"",""text"":""n""},{""color"":""#FFE0E5"",""text"":"" ""},{""color"":""#FFE5E9"",""text"":""t""},{""color"":""#FFEAEE"",""text"":""h""},{""color"":""#FFEFF2"",""text"":""e""},{""color"":""#FFF5F6"",""text"":"" ""},{""color"":""#FFFAFB"",""text"":""D""},{""color"":""white"",""text"":""u""},{""color"":""#FFFAFB"",""text"":""n""},{""color"":""#FFF5F6"",""text"":""g""},{""color"":""#FFEFF2"",""text"":""e""},{""color"":""#FFEAEE"",""text"":""o""},{""color"":""#FFE5E9"",""text"":""n""},{""color"":""#FFE0E5"",""text"":"" ""},{""color"":""#FFDAE1"",""text"":""n""},{""color"":""#FFD5DC"",""text"":""o""},{""color"":""#FFD0D8"",""text"":""w""},{""color"":""#FFCBD4"",""text"":""!""},{""color"":""#FFC5CF"",""text"":"" ""}],""text"":""""},{""color"":""#FFC0CB"",""font"":""minecraft:alt"",""text"":""]""}],""text"":""""}","[ Join the Dungeon now! ]","dragon_breath","{""italic"":false,""color"":""gray"",""extra"":[{""color"":""green"",""extra"":[{""color"":""#1FFF0F"",""text"":""ᴍᴏᴅ""},{""text"":"" ""},{""color"":""dark_gray"",""extra"":[{""color"":""gray"",""extra"":[{""color"":""#AAFF77"",""text"":""K""},{""color"":""#B0FF81"",""text"":""o""},{""color"":""#B7FF8C"",""text"":""o""},{""color"":""#BDFF96"",""text"":""r""},{""color"":""#C4FFA1"",""text"":""i""},{""color"":""#CAFFAB"",""text"":""K""},{""color"":""#D1FFB5"",""text"":""i""},{""color"":""#D7FFC0"",""text"":""t""},{""color"":""#DEFFCA"",""text"":""s""},{""color"":""#E4FFD4"",""text"":""u""},{""color"":""#EBFFDF"",""text"":""n""},{""color"":""#F1FFE9"",""text"":""e""},{""color"":""#F8FFF4"",""text"":""3""},{""color"":""#FEFFFE"",""text"":""8""}],""text"":""""}],""text"":""| ""}],""text"":""""}],""text"":""""}","ᴍᴏᴅ | KooriKitsune38",944,73,1701711180,false,-1,,,,,
"b9423388-a8f8-4b4f-b678-a7bfb2e4f9d5","{""italic"":false,""text"":""Apocalypse Survival""}","Apocalypse Survival","{""italic"":false,""color"":""gray"",""text"":""Community build area!""}","Community build area!","rotten_flesh","{""italic"":false,""color"":""gray"",""extra"":[{""color"":""green"",""extra"":[{""color"":""#8888FF"",""text"":""ꜰᴍ""},{""text"":"" ""},{""color"":""dark_gray"",""extra"":[{""color"":""#7777FF"",""text"":""1""},{""color"":""#7481FF"",""text"":""2""},{""color"":""#728CFF"",""text"":""3""},{""color"":""#6F96FF"",""text"":""y""},{""color"":""#6DA1FF"",""text"":""e""},{""color"":""#6AABFF"",""text"":""a""},{""color"":""#67B6FF"",""text"":""h""},{""color"":""#65C0FF"",""text"":""_""},{""color"":""#62CBFF"",""text"":""b""},{""color"":""#5FD5FF"",""text"":""o""},{""color"":""#5DE0FF"",""text"":""i""},{""color"":""#5AEAFF"",""text"":""3""},{""color"":""#58F5FF"",""text"":""2""},{""color"":""aqua"",""text"":""1""}],""text"":""| ""}],""text"":""""}],""text"":""""}","ꜰᴍ | 123yeah_boi321",871,71,1703742180,true,-1,,,,,
"c2fe4369-38d9-43a8-a60e-9dc9214c017d","{""italic"":false,""text"":""Wave""}","Wave","{""italic"":false,""color"":""gray"",""text"":""Work In Progress""}","Work In Progress","water_bucket","{""italic"":false,""color"":""gray"",""text"":""Alyxeradizephrea""}","Alyxeradizephrea",594,71,1703336760,false,-1,,,,,
"a2011193-6fb3-4696-9858-64b6e7625c2c","{""italic"":false,""text"":""♔ ♕ ♖ ♗ ♘ ♙ Chess ♟ ♞ ♝ ♜ ♛ ♚""}","♔ ♕ ♖ ♗ ♘ ♙ Chess ♟ ♞ ♝ ♜ ♛ ♚","{""italic"":false,""color"":""gray"",""text"":""ELO UPDATED!""}","ELO UPDATED!","player_head","{""italic"":false,""color"":""gray"",""text"":""E_ple""}","E_ple",876,68,1703575380,false,-1,,,,,
"2f54ed4c-7876-48c1-b0d5-136d1ad1232c","{""italic"":false,""text"":""Simple RPG""}","Simple RPG","{""italic"":false,""color"":""gray"",""text"":""Simple RPG, minecraft server!""}","Simple RPG, minecraft server!","player_head","{""italic"":false,""color"":""gray"",""text"":""Cyphe_Mercury""}","Cyphe_Mercury",1676,68,1703317440,false,-1,,,,,
